,2017,2018,2019
Gaston,39977,40175,41506
Gates,36705,37187,38851
Graham,31620,33353,35040
Granville,36974,38189,39610
Greene,31510,31573,32904
Guilford,44664,46078,47546
Halifax,35101,36244,37854
Harnett,33352,34437,35484
Haywood,38957,40188,41798
Henderson,41613,43795,45342
Hertford,31372,31862,33251
Hoke,30040,31375,32574
Hyde,36654,37245,40044
Iredell,48267,50907,52423
Jackson,32151,33325,34860
Johnston,38559,40129,41327
Jones,40168,38580,42024
Lee,38717,40769,42021
Lenoir,39398,40372,41752
Lincoln,43721,45655,47178
McDowell,33163,34107,35227
Macon,39039,39583,40848
Madison,32538,34216,35729
Martin,33190,33952,35541
Mecklenburg,58750,61080,62890
Mitchell,34707,35718,36684
Montgomery,33902,35330,36181
Moore,49347,50870,51913
Nash,40595,42429,43971
New Hanover,43882,46627,48029
Northampton,33493,34305,36597
Onslow,44865,46377,47525
Orange,63820,63062,65185
Pamlico,41105,41268,43290
Pasquotank,37890,38881,40388
Pender,35564,37092,38338
Perquimans,39501,40030,41804
Person,36464,37629,39119
Pitt,39958,41841,43325
Polk,43120,44012,45459
Randolph,36046,37572,38892
Richmond,34203,34551,35630
Robeson,28333,29236,30423
Rockingham,36099,37184,38419
Rowan,36888,38712,40213
Rutherford,31555,32634,34021
Sampson,35171,34614,35871
Scotland,31846,32991,33938
Stanly,37797,38804,40157
Stokes,36034,37620,38835
Surry,37215,38273,39525
Swain,38139,38802,40819
Transylvania,39923,41295,42515
Tyrrell,31717,30337,32712
Union,49709,51802,53417
Vance,33552,33983,35278
Wake,56298,60447,62264
Warren,28657,29209,30377
Washington,34410,35541,37481
Watauga,35350,37016,38720
Wayne,37361,38425,39894
Wilkes,36323,36710,37313
Wilson,38918,39982,41339
Yadkin,36320,37500,38816
Yancey,33926,36445,37812
,,,
North Dakota,52736,55788,57232
Adams,48719,48401,50172
Barnes,49792,52651,55764
Benson,33318,37116,36139
Billings,77821,75712,79550
Bottineau,53366,62241,61071
Bowman,57830,59530,66566
Burke,62439,72618,74224
Burleigh,56088,58522,60117
Cass,54257,57067,58783
Cavalier,57576,75087,65298
Dickey,51227,54479,60512
Divide,50885,50593,52476
Dunn,55477,60049,63237
Eddy,55192,59384,59794
Emmons,46423,48268,49101
Foster,58576,61239,59570
Golden Valley,40248,36906,37688
Grand Forks,49551,51747,53502
Grant,45541,41963,45370
Griggs,55802,57744,56996
Hettinger,52731,47876,49775
Kidder,47954,50206,52877
LaMoure,49356,52821,57831
Logan,52962,52270,51670
McHenry,45446,52378,52038
McIntosh,52322,54331,58245
McKenzie,58532,64957,65130
McLean,50692,55567,55710
Mercer,58255,57973,57936
Morton,50404,52080,53454
Mountrail,53101,60643,61569
Nelson,57203,61157,60964
Oliver,43523,44047,44140
Pembina,57255,58365,60512
Pierce,46339,51272,49600
Ramsey,46263,49713,50047
Ransom,51491,54935,57933
Renville,55862,74970,70486
Richland,47229,50047,51045
Rolette,33164,36071,36875
Sargent,51869,56233,61102
Sheridan,42187,48774,46962
Sioux,25898,27485,28524
Slope,48653,40042,46328
Stark,59774,61501,63942
Steele,51159,55534,57770
Stutsman,49098,51779,53065
Towner,53812,71660,62530
Traill,47806,49892,53140
Walsh,48262,51027,51995
Ward,51200,54153,56088
Wells,53305,60201,59292
Williams,65795,69197,68291
,,,
Ohio,46829,48747,50199
Adams,33493,34597,35269
Allen,40925,42575,43788
Ashland,37215,38711,39977
Ashtabula,37169,38659,39767
Athens,32521,33279,34796
Auglaize,47304,48577,49789
Belmont,39881,43012,42987
Brown,35910,36978,38401
Butler,45383,47236,49146
Carroll,37672,39445,40833
Champaign,39616,41376,42432
Clark,39445,40563,41811
Clermont,51116,53553,55842
Clinton,43693,45183,46599
Columbiana,36550,38380,39311
Coshocton,33579,35070,35962
Crawford,37161,39055,39844
Cuyahoga,52561,54795,56502
Darke,41499,44271,44297
Defiance,39567,41108,42003
Delaware,71469,74037,75778
Erie,59786,60436,61821
Fairfield,44480,46093,47295
Fayette,37871,38938,40002
Franklin,48809,50285,51644
Fulton,43646,45351,46811
Gallia,37404,39196,40038
Geauga,66110,68884,70955
Greene,48486,50277,51509
Guernsey,38622,40403,41613
Hamilton,57101,59780,61732
Hancock,49695,50181,51762
Hardin,31629,33019,33788
Harrison,37481,38306,39209
Henry,43516,44780,46006
Highland,35168,36208,37317
Hocking,36890,37875,38975
Holmes,43100,45505,46876
Huron,39121,40709,41797
Jackson,34744,35397,36672
Jefferson,37519,39226,40844
Knox,40838,43135,44019
Lake,48715,50858,52475
Lawrence,36760,38638,39610
Licking,44460,45844,47097
Logan,41264,42889,44030
Lorain,44380,46183,47666
Lucas,44319,46477,47875
Madison,40622,41047,41862
Mahoning,41518,43134,43925
Marion,36661,37411,38644
Medina,53508,55575,57387
Meigs,33301,34210,35723
Mercer,49666,52964,52106
Miami,45851,47740,48997
Monroe,32019,35361,36672
Montgomery,45180,47033,48448
Morgan,31835,32926,34038
Morrow,37582,39094,40221
Muskingum,39289,40869,41998
Noble,25883,27291,27703
Ottawa,49384,51604,53133
Paulding,38950,41195,42017
Perry,36140,37428,38469
Pickaway,39336,40599,41422
Pike,36395,37496,38610
Portage,42294,43582,45023
Preble,38663,40107,41110
Putnam,47151,49514,50560
Richland,38074,39393,40507
Ross,35685,37261,38563
Sandusky,40063,41429,42188
Scioto,37014,39133,40144
Seneca,38195,39306,40607
Shelby,44249,45551,46739
Stark,43418,45051,46441
Summit,49091,51349,52918
Trumbull,39619,41093,42005
Tuscarawas,41793,43844,45199
Union,53797,58733,59811
Van Wert,40511,42473,43166
Vinton,32212,33330,34400
Warren,57515,59806,62111
Washington,40536,43524,44283
Wayne,42544,44823,46420
Williams,39686,41436,42970
Wood,45236,47420,48823
Wyandot,42384,45230,46428
,,,
Oklahoma,43794,45843,47341
Adair,28570,28755,29528
Alfalfa,34971,37904,39316
Atoka,31181,31739,32823
Beaver,48000,51797,52877
Beckham,35997,38925,38789
Blaine,38052,40623,42256
Bryan,33391,33950,35269
Caddo,34143,35826,37603
Canadian,43234,44865,46116
Carter,40778,42661,43578
Cherokee,31229,32322,33583
Choctaw,29959,31004,32368
Cimarron,69457,66417,71734
Cleveland,43169,44412,45675
Coal,33342,36027,38741
Comanche,39807,40893,42676
Cotton,39294,39855,43032
Craig,35782,36938,38861
Creek,38614,39866,41624
Custer,38221,39872,41261
Delaware,31180,31978,33113
Dewey,37921,45009,47685
Ellis,48870,51712,54037
Garfield,42638,43667,44899
Garvin,36161,37973,39303
Grady,37926,39554,40777
Grant,40805,41335,46669
Greer,28577,28578,30055
Harmon,37914,38473,42281
Harper,49541,53067,53798
Haskell,31829,32273,32972
Hughes,37240,40189,42601
Jackson,39008,40536,43321
Jefferson,30437,32556,34118
Johnston,34307,36326,34931
Kay,39387,40038,41469
Kingfisher,47747,51946,54342
Kiowa,34930,34841,37761
Latimer,33833,33987,35167
Le Flore,31414,32140,33222
Lincoln,33850,34760,35697
Logan,41206,42723,43861
Love,35602,37141,37666
McClain,43216,45646,46874
McCurtain,31730,32120,33002
McIntosh,32131,32979,35335
Major,39732,43481,43815
Marshall,31586,32597,33857
Mayes,33813,35032,36363
Murray,40711,42253,43275
Muskogee,35322,36186,37827
Noble,40230,41381,44037
Nowata,34170,35599,37054
Okfuskee,27826,28792,31212
Oklahoma,49087,50766,52048
Okmulgee,32399,33422,34888
Osage,33305,34120,35458
Ottawa,35261,36497,38291
Pawnee,34213,35421,36538
Payne,35235,36639,38276
Pittsburg,36636,38184,39331
Pontotoc,40714,42679,44712
Pottawatomie,36007,36752,38053
Pushmataha,30965,31440,32830
Roger Mills,44977,44661,44454
Rogers,43776,45833,47635
Seminole,31425,33297,34658
Sequoyah,31947,32470,33665
Stephens,38970,42138,43723
Texas,55159,57130,61652
Tillman,34499,34948,38674
Tulsa,58233,63015,64699
Wagoner,37918,39303,40851
Washington,58543,63444,66805
Washita,33514,35286,36141
Woods,40164,43058,44427
Woodward,35960,37598,38156
,,,
Oregon,48762,51500,53191
Baker,39059,41421,42494
Benton,44685,47070,48725
Clackamas,55806,59533,61726
Clatsop,43371,45954,47081
Columbia,42380,44335,46019
Coos,42177,44721,46429
Crook,39488,41529,42584
Curry,41296,43899,45474
Deschutes,52547,55612,56447
Douglas,39280,41067,42334
Gilliam,49752,51784,55409
Grant,39769,41715,42888
Harney,38052,40407,41818
Hood River,53457,55940,56325
Jackson,44955,46661,48291
Jefferson,32783,34405,35155
Josephine,39566,41909,43554
Klamath,39147,40787,41613
Lake,38761,41766,43228
Lane,44416,46124,47340
Lincoln,42264,44727,45935
Linn,41169,43327,44830
Malheur,31347,32929,34576
Marion,41389,43441,45158
Morrow,42947,45644,48605
Multnomah,55200,58716,60773
Polk,39698,41355,42897
Sherman,48314,56344,56940
Tillamook,43262,44403,45879
Umatilla,38488,40625,41928
Union,38854,40873,41721
Wallowa,43077,44933,46044
Wasco,41997,43161,43596
Washington,58223,61951,64043
Wheeler,34685,37038,39368
Yamhill,43543,45846,47494
,,,
Pennsylvania,53306,56032,58032
Adams,46786,48379,50182
Allegheny,59068,63722,65784
Armstrong,42486,45168,46925
Beaver,46010,48805,50600
Bedford,40414,41957,43426
Berks,47629,49439,51299
Blair,44330,46539,48277
Bradford,39454,40992,43187
Bucks,69780,73037,75864
Butler,55781,58293,60493
Cambria,40817,43445,45107
Cameron,45586,48112,47470
Carbon,48312,51202,53053
Centre,44720,45866,47564
Chester,79143,84409,87557
Clarion,39151,41060,42281
Clearfield,42622,44789,46253
Clinton,37967,39429,40669
Columbia,40743,42376,43793
Crawford,38538,40705,42237
Cumberland,52831,54808,56540
Dauphin,48794,51107,52716
Delaware,62959,67208,69740
Elk,45966,48492,49141
Erie,42524,45038,46379
Fayette,40442,42289,43835
Forest,21524,22959,24113
Franklin,44264,46298,47934
Fulton,42061,44634,45774
Greene,42132,43649,45161
Huntingdon,36339,37962,39371
Indiana,37750,40003,41503
Jefferson,41493,44335,45855
Juniata,43565,44831,46258
Lackawanna,45504,47515,48967
Lancaster,50115,52591,54314
Lawrence,41376,43705,45252
Lebanon,46104,47557,48924
Lehigh,50804,52433,54471
Luzerne,43121,45031,46363
Lycoming,41766,43571,44941
McKean,42840,44157,44774
Mercer,40580,42519,43682
Mifflin,37795,39356,40641
Monroe,40507,42267,43823
Montgomery,75699,79051,82037
Montour,55475,57241,58872
Northampton,52009,54705,56931
Northumberland,39986,41849,43289
Perry,42853,44673,46212
Philadelphia,53255,55457,57265
Pike,45531,47775,49873
Potter,40434,44063,45887
Schuylkill,40750,42481,44055
Snyder,40383,41956,43286
Somerset,39845,41424,43103
Sullivan,43618,46098,47455
Susquehanna,42730,44871,46737
Tioga,38561,40078,41990
Union,39446,40301,41400
Venango,39670,41970,43822
Warren,40326,41911,43401
Washington,55849,58291,60295
Wayne,41520,43605,45221
Westmoreland,49232,51712,53740
Wyoming,42168,45462,47099
York,47965,49888,51585
,,,
Rhode Island,52644,54431,56361
Bristol,75428,76489,78975
Kent,57195,58636,60874
Newport,65847,68480,70893
Providence,46277,47734,49392
Washington,61255,65085,67688
,,,
South Carolina,42227,43912,45438
Abbeville,32837,33758,35219
Aiken,41003,42703,44349
Allendale,31117,32539,33582
Anderson,38432,39979,41170
Bamberg,32172,33598,35203
Barnwell,32325,33924,35606
Beaufort,54372,57251,59318
Berkeley,38905,40825,42365
Calhoun,37411,39664,41136
Charleston,58880,61590,63901
Cherokee,31733,32870,33875
Chester,32660,33813,35227
Chesterfield,29745,31200,32249
Clarendon,31818,33298,34475
Colleton,34442,35940,37521
Darlington,36034,37601,39195
Dillon,27617,28468,30203
Dorchester,37256,39228,40926
Edgefield,35624,35709,37294
Fairfield,35399,36592,37834
Florence,40006,42045,44001
Georgetown,45594,47586,49341
Greenville,46997,48601,49801
Greenwood,36257,37024,38180
Hampton,31320,32887,34322
Horry,36224,37805,39028
Jasper,27919,30017,31488
Kershaw,39990,41509,42929
Lancaster,47772,51102,52396
Laurens,33610,34647,35441
Lee,30354,31696,33605
Lexington,45748,46463,47992
McCormick,36361,39192,40004
Marion,30192,31639,33569
Marlboro,30543,32191,32637
Newberry,37103,37946,39024
Oconee,41891,43882,45004
Orangeburg,33059,34251,35656
Pickens,37091,38466,39549
Richland,44241,45554,47299
Saluda,33548,33478,34353
Spartanburg,41803,43055,44169
Sumter,37096,38616,40019
Union,31497,33090,34341
Williamsburg,31241,32754,34993
York,45074,47010,48588
,,,
South Dakota,49787,52633,53962
Aurora,35934,38753,40709
Beadle,46990,48100,49521
Bennett,32907,35777,36759
Bon Homme,35544,38758,40713
Brookings,43897,46254,47782
Brown,50824,54846,55397
Brule,44430,46607,45320
Buffalo,24207,23229,20682
Butte,37189,38084,38449
Campbell,43761,53284,48544
Charles Mix,35659,40138,41567
Clark,42966,48248,46281
Clay,36382,39133,40589
Codington,47061,49687,51250
Corson,27774,26821,27114
Custer,46499,48150,49665
Davison,49185,51561,53275
Day,43959,48466,46087
Deuel,48542,50988,52808
Dewey,36665,36432,38051
Douglas,47057,52133,59855
Edmunds,46992,57450,54210
Fall River,45059,46316,48186
Faulk,44713,55357,56814
Grant,55385,55549,57365
Gregory,42404,44506,44981
Haakon,47421,56915,51865
Hamlin,42161,44636,44145
Hand,51747,57967,54579
Hanson,57488,62565,65135
Harding,51594,46303,50170
Hughes,52073,52231,54352
Hutchinson,46391,51329,56811
Hyde,54849,50710,48836
Jackson,26542,28028,27278
Jerauld,39670,40815,39599
Jones,52533,53737,58796
Kingsbury,49809,55813,57495
Lake,50892,48949,51119
Lawrence,48188,51310,52919
Lincoln,66066,69094,70461
Lyman,38360,41966,41809
McCook,46401,49388,53322
McPherson,39490,45966,43635
Marshall,40376,48330,49754
Meade,41633,43533,44365
Mellette,30625,31332,31131
Miner,42164,47938,50603
Minnehaha,55263,58201,59905
Moody,46070,51119,51866
Oglala Lakota,24498,25263,25840
Pennington,49505,51801,53071
Perkins,43771,39961,40282
Potter,65492,69358,72468
Roberts,34420,38113,36756
Sanborn,40943,47835,52093
Spink,53075,57727,55810
Stanley,64378,59324,62601
Sully,72393,77126,73244
Todd,24234,25417,26172
Tripp,46454,50969,51501
Turner,56153,51792,54445
Union,102912,116776,117055
Walworth,45239,46493,46589
Yankton,46782,49784,51011
Ziebach,19390,20507,19940
,,,
Tennessee,45233,47210,48684
Anderson,40526,41993,43045
Bedford,36322,37468,38667
Benton,32811,33484,34482
Bledsoe,24775,25838,27113
Blount,41605,44070,45222
Bradley,38081,39453,40712
Campbell,32452,33677,34655
Cannon,34892,35228,36713
Carroll,34974,35607,37529
Carter,32944,33840,34691
Cheatham,42331,44198,46138
Chester,32321,33690,34800
Claiborne,33835,35168,35996
Clay,30188,30811,31056
Cocke,31159,32282,33340
Coffee,37554,38762,40415
Crockett,36133,38554,40735
Cumberland,36096,36771,37720
Davidson,63101,68958,71252
Decatur,39614,41372,41949
DeKalb,38435,40029,40280
Dickson,39137,40532,42088
Dyer,39031,40416,42552
Fayette,53797,54706,56361
Fentress,31188,32574,33727
Franklin,37725,38954,40370
Gibson,36723,38039,39892
Giles,37791,38281,38934
Grainger,32176,33867,34983
Greene,35347,36271,37287
Grundy,30979,32241,33635
Hamblen,35904,37298,38304
Hamilton,50060,51846,53360
Hancock,25849,26927,28083
Hardeman,28424,29306,30977
Hardin,37295,39397,40331
Hawkins,32966,34291,35077
Haywood,32165,33639,35920
Henderson,34485,35676,36986
Henry,40032,40742,42407
Hickman,31408,32655,33840
Houston,31139,31986,33635
Humphreys,37929,38045,39784
Jackson,29257,30727,31676
Jefferson,34723,36476,37494
Johnson,31404,31951,33058
Knox,48102,50531,51758
Lake,22161,21997,25772
Lauderdale,28406,29908,31976
Lawrence,33852,34511,35983
Lewis,32834,34672,36378
Lincoln,39136,40102,42134
Loudon,47033,48812,50154
McMinn,34791,36337,37601
McNairy,31353,32769,33914
Macon,32183,32838,33535
Madison,41673,42639,44135
Marion,37882,38998,40365
Marshall,36457,37698,39173
Maury,41068,42645,44246
Meigs,32837,33210,34472
Monroe,32271,33702,34720
Montgomery,40942,41733,43028
Moore,38697,39691,41565
Morgan,28596,29857,30962
Obion,39107,40963,42717
Overton,32888,34120,35085
Perry,32569,34344,34522
Pickett,38414,39018,39569
Polk,32517,33163,34234
Putnam,38633,39494,40223
Rhea,33006,34222,35424
Roane,39280,40730,41917
Robertson,40662,42067,43856
Rutherford,39812,41302,42712
Scott,28639,30501,31046
Sequatchie,36285,37687,39154
Sevier,38352,40024,41136
Shelby,47718,49417,50744
Smith,36429,38797,40290
Stewart,39093,39620,41155
Sullivan,41087,42926,43610
Sumner,46708,48598,50213
Tipton,37622,39005,40514
Trousdale,28946,30480,31835
Unicoi,34643,36220,37278
Union,30925,32080,32853
Van Buren,29387,30538,31628
Warren,33763,34578,35453
Washington,42006,43629,44593
Wayne,26462,28050,28922
Weakley,35359,36491,38465
White,31824,32640,33761
Williamson,91669,92644,95053
Wilson,47410,49243,50875
,,,
Texas,48394,51136,52813
Anderson,32759,34363,36027
Andrews,45435,50776,51769
Angelina,37347,38899,39644
Aransas,45597,50184,51614
Archer,47778,49601,52335
Armstrong,46128,52201,53422
Atascosa,35517,36686,37644
Austin,48176,49449,51118
Bailey,42853,43590,44665
Bandera,41871,43664,44925
Bastrop,35202,36676,38289
Baylor,42420,44172,46615
Bee,27687,28692,29792
Bell,42147,42687,43919
Bexar,44170,46531,47830
Blanco,50806,53189,54814
Borden,46175,67094,61287
Bosque,39436,41271,42366
Bowie,39187,40048,41172
Brazoria,45864,46744,48374
Brazos,37426,40124,41348
Brewster,43291,46109,48422
Briscoe,40410,44709,44413
Brooks,33131,35049,36558
Brown,37366,39053,39661
Burleson,41379,44380,45970
Burnet,45129,48220,49731
Caldwell,32209,33073,34617
Calhoun,37583,43679,46208
Callahan,37514,40027,41962
Cameron,27622,28940,29928
Camp,36760,37381,37111
Carson,43496,44495,48571
Cass,35133,36572,37566
Castro,62749,59181,64427
Chambers,52485,54718,56610
Cherokee,33303,34754,35245
Childress,29305,30084,30731
Clay,40561,42411,44295
Cochran,38066,39941,39333
Coke,39228,40684,41669
Coleman,39377,40501,42683
Collin,63911,66343,68474
Collingsworth,37574,39173,42026
Colorado,44761,45374,46909
Comal,56841,58885,60056
Comanche,38886,40812,43242
Concho,31897,33614,35758
Cooke,50625,51205,52875
Coryell,33261,34476,35570
Cottle,60087,61978,60260
Crane,42923,48609,51025
Crockett,39277,42228,44458
Crosby,33399,36474,37580
Culberson,46813,54599,59506
Dallam,65231,59900,64756
Dallas,56609,60780,62782
Dawson,36639,41686,40131
Deaf Smith,51368,49329,52368
Delta,38716,38752,40622
Denton,54078,57495,59414
DeWitt,52478,57967,59389
Dickens,31203,32818,33843
Dimmit,34442,37317,38800
Donley,42572,46505,45531
Duval,35210,37931,39029
Eastland,61016,77657,78826
Ector,42824,48449,50161
Edwards,37055,41380,45429
Ellis,42874,44348,45968
El Paso,34601,36358,37715
Erath,37009,38818,40462
Falls,33386,34791,35258
Fannin,36964,38161,39830
Fayette,50980,52871,54552
Fisher,39553,49172,44630
Floyd,39234,41243,44646
Foard,41812,46435,44895
Fort Bend,55584,57851,59653
Franklin,38365,40260,41307
Freestone,35541,36966,38182
Frio,28448,29160,30223
Gaines,39672,41173,44405
Galveston,49931,52536,54250
Garza,28465,31325,32601
Gillespie,59077,61754,63291
Glasscock,83038,85914,84623
Goliad,41335,43770,45589
Gonzales,42013,45897,44789
Gray,41647,42497,44127
Grayson,40793,42480,43987
Gregg,43651,45845,47109
Grimes,34333,35523,36909
Guadalupe,43373,44361,45797
Hale,32054,33551,35633
Hall,33158,33646,33095
Hamilton,57650,58038,60584
Hansford,63570,61020,65330
Hardeman,38202,41891,42023
Hardin,44055,46100,47221
Harris,54325,58235,60002
Harrison,40159,41515,42891
Hartley,76545,71979,81238
Haskell,34904,37407,39899
Hays,41725,43395,45332
Hemphill,56478,55367,57053
Henderson,38227,38743,40135
Hidalgo,25712,26615,27415
Hill,38181,40129,41240
Hockley,40537,41227,42162
Hood,49589,49806,51384
Hopkins,38102,40144,41562
Houston,36622,38384,39609
Howard,37588,42999,43348
Hudspeth,33642,22508,23569
Hunt,36583,37701,38892
Hutchinson,39916,42141,43981
Irion,67749,71336,72177
Jack,39619,43580,40827
Jackson,40589,42469,46596
Jasper,39141,39752,40834
Jeff Davis,40229,41865,43080
Jefferson,42349,43515,44613
Jim Hogg,30513,32177,33602
Jim Wells,39305,40555,42174
Johnson,40348,42357,43759
Jones,29080,31010,32639
Karnes,46484,53538,56449
Kaufman,41538,42797,43972
Kendall,82627,80739,81882
Kenedy,41239,39073,42262
Kent,51208,56694,54630
Kerr,48740,50233,51768
Kimble,42351,43041,44371
King,72716,86917,78849
Kinney,29859,31560,32219
Kleberg,38256,40210,41526
Knox,37632,39957,39587
Lamar,40593,41130,43063
Lamb,40823,42153,45655
Lampasas,48300,49823,50656
La Salle,34461,38768,39913
Lavaca,48724,51800,53483
Lee,45391,46975,50665
Leon,37895,39480,40056
Liberty,36310,36924,37874
Limestone,34349,36387,37774
Lipscomb,65316,72844,77810
Live Oak,33751,36134,37415
Llano,46554,48162,49905
Loving,53692,51730,53734
Lubbock,40986,43025,44311
Lynn,39212,40151,43141
McCulloch,37337,39147,38895
McLennan,39866,41410,42159
McMullen,65779,64264,65250
Madison,30053,31358,32648
Marion,36412,38376,39895
Martin,52754,64815,60844
Mason,44182,46547,47439
Matagorda,40859,42730,45237
Maverick,28694,30495,31380
Medina,38234,39753,41095
Menard,33454,36067,37218
Midland,111017,129340,130983
Milam,35376,35510,37238
Mills,36518,38176,39334
Mitchell,32158,33539,33593
Montague,39408,41032,42230
Montgomery,61350,61767,63424
Moore,41903,43021,46108
Morris,40834,40825,41068
Motley,29381,30749,32988
Nacogdoches,36377,38020,38569
Navarro,37113,38442,39652
Newton,31924,33294,34265
Nolan,41313,43890,46066
Nueces,42516,43414,44889
Ochiltree,56470,58696,60862
Oldham,54947,55661,55479
Orange,43067,44685,45663
Palo Pinto,38133,39800,41193
Panola,41003,45660,45467
Parker,51708,54172,55811
Parmer,46767,45349,49541
Pecos,34446,38151,39731
Polk,38498,39292,39818
Potter,42004,44343,46086
Presidio,39886,44181,46581
Rains,33641,33976,34819
Randall,46813,48009,49544
Reagan,43151,53480,51945
Real,33588,35040,36070
Red River,39974,41192,43039
Reeves,34030,41726,45458
Refugio,41629,44195,46464
Roberts,45691,48409,48344
Robertson,39483,41267,42463
Rockwall,59355,60461,62237
Runnels,37995,39588,41929
Rusk,34953,36824,37697
Sabine,33799,34776,36627
San Augustine,36583,39413,42299
San Jacinto,33626,34853,36260
San Patricio,42417,45107,46506
San Saba,37205,40264,40521
Schleicher,36297,40554,42255
Scurry,40996,43085,42915
Shackelford,108047,112335,113163
Shelby,39850,42441,41767
Sherman,95795,83594,97002
Smith,52319,55281,56292
Somervell,44883,44405,45812
Starr,25497,26887,27713
Stephens,36061,43033,43971
Sterling,57888,60758,61920
Stonewall,58468,60573,58541
Sutton,59270,63339,61646
Swisher,51025,50966,51779
Tarrant,49366,51554,53292
Taylor,42931,45767,47793
Terrell,46455,46667,49591
Terry,34728,34597,37741
Throckmorton,34589,38202,41454
Titus,33954,36113,37070
Tom Green,43802,47431,48876
Travis,64199,69084,71666
Trinity,33427,34841,36062
Tyler,30856,31819,32978
Upshur,34681,36751,37563
Upton,42436,44565,47118
Uvalde,38807,39858,41116
Val Verde,34687,36337,38331
Van Zandt,36906,38310,39609
Victoria,44341,46994,48938
Walker,26921,28706,29838
Waller,38669,41123,42456
Ward,41116,49518,53870
Washington,49771,54054,55735
Webb,30340,31491,32466
Wharton,41277,43358,45221
Wheeler,40893,43288,44309
Wichita,41451,42904,44479
Wilbarger,41832,45287,46314
Willacy,25300,27463,27584
Williamson,48588,50773,53145
Wilson,42683,45044,46448
Winkler,47359,59141,63667
Wise,41917,43384,44870
Wood,37219,38398,39803
Yoakum,42562,42712,44932
Young,47937,50037,50732
Zapata,27112,28570,28936
Zavala,27121,28993,30779
,,,
Utah,44178,47008,48939
Beaver,33293,36524,40889
Box Elder,36102,38237,40621
Cache,37662,40325,41811
Carbon,36062,39307,40679
Daggett,40423,42920,47753
Davis,43944,46281,48423
Duchesne,35610,36171,37869
Emery,31022,34057,35177
Garfield,37715,38305,39900
Grand,51182,56312,59196
Iron,31119,33195,34353
Juab,33999,38148,39103
Kane,39430,40673,41502
Millard,34591,36451,38336
Morgan,49457,53457,55967
Piute,44175,44494,44169
Rich,35114,37994,40845
Salt Lake,50097,53079,55446
San Juan,25591,26863,28074
Sanpete,27956,29906,30592
Sevier,33057,36126,37558
Summit,125933,146004,151326
Tooele,35044,36904,38446
Uintah,30173,31688,32241
Utah,38878,41269,42995
Wasatch,51161,57452,59584
Washington,37043,40053,40886
Wayne,38074,40894,42426
Weber,39915,41916,43707
,,,
Vermont,51697,53531,55293
Addison,49534,51247,52966
Bennington,51356,53604,55870
Caledonia,39792,40781,43113
Chittenden,58179,60302,61858
Essex,35236,36237,38844
Franklin,44895,46072,47889
Grand Isle,57035,57997,59863
Lamoille,50993,53501,54761
Orange,45037,46825,48961
Orleans,41808,43240,44579
Rutland,49493,51246,53152
Washington,57487,59415,60368
Windham,48708,49823,52123
Windsor,55115,57596,59604
,,,
Virginia,55631,57964,59657
Accomack,40837,41826,42923
Amelia,42746,43272,44297
Amherst,35717,37142,38165
Appomattox,36907,38217,39268
Arlington,91685,96881,99407
Bath,61491,63689,66864
Bedford,44864,46579,47590
Bland,35988,36956,38126
Botetourt,48473,50359,51738
Brunswick,31775,32347,33784
Buchanan,34222,35495,37048
Buckingham,29155,30076,30966
Caroline,40757,41569,42977
Charles City,44383,45264,46976
Charlotte,34690,35497,36737
Chesterfield,52225,53702,55070
Clarke,63710,65443,67094
Craig,36942,38183,39087
Culpeper,44751,46303,47689
Cumberland,37139,37723,39094
Dickenson,31067,32311,34397
Essex,40740,41761,43041
Fauquier,68382,70571,72577
Floyd,36861,38532,40065
Fluvanna,42801,44290,45334
Franklin,39233,40473,41795
Giles,38325,39681,41179
Gloucester,48371,50096,51847
Goochland,97960,101267,102690
Grayson,31100,32108,33190
Greene,42622,45136,46529
Halifax,35524,36658,38414
Hanover,58652,60189,61832
Henrico,64545,66777,68639
Highland,43827,43975,44791
Isle of Wight,53220,55554,57645
King and Queen,41775,43024,44798
King George,50922,52033,53777
King William,45480,46229,47802
Lancaster,58294,59356,61447
Lee,29063,29940,31087
Loudoun,75312,78762,80914
Louisa,41195,42439,42723
Lunenburg,32065,32944,33996
Madison,47144,46874,48577
Mathews,54372,56258,57844
Mecklenburg,36114,37391,38481
Middlesex,49835,51214,53553
Nelson,48581,49831,51297
New Kent,69142,73502,75221
Northampton,46991,48989,51101
Northumberland,50124,51585,54616
Nottoway,33992,34766,36295
Orange,47930,49027,50642
Page,37568,38565,39633
Patrick,33148,34014,34541
Powhatan,55011,57177,58609
Prince Edward,31059,31329,32416
Pulaski,38388,40169,41311
Rappahannock,61770,66678,68382
Richmond,36075,36510,37741
Russell,32358,33641,34827
Scott,32501,33901,34589
Shenandoah,43092,45127,46680
Smyth,35948,36942,38090
Stafford,53092,54766,56346
Surry,43200,44477,44647
Sussex,30035,30962,32383
Tazewell,37191,38186,39276
Warren,45035,46392,47932
Westmoreland,42464,44001,45782
Wythe,34461,35474,36695
Independent cities:,,,
Alexandria,84923,89648,91990
Chesapeake,48696,50326,51874
Hampton,41943,43448,44909
Newport News,41735,42977,44465
Norfolk,40284,41479,42875
Portsmouth,39535,41144,42605
Richmond,54467,55272,56560
Roanoke,42253,44144,45277
Suffolk,50013,51979,53740
Virginia Beach,56042,58004,59805
Combination areas2:,,,
Albemarle + Charlottesville,71785,76342,77657
